month,sp500_close
2011-01-01,1286.1199951171875
2011-02-01,1327.219970703125
2011-03-01,1325.8299560546875
2011-04-01,1363.6099853515625
2011-05-01,1345.199951171875
2011-06-01,1320.6400146484375
2011-07-01,1292.280029296875
2011-08-01,1218.8900146484375
2011-09-01,1131.4200439453125
2011-10-01,1253.300048828125
2011-11-01,1246.9599609375
2011-12-01,1257.5999755859375
2012-01-01,1312.4100341796875
2012-02-01,1365.6800537109375
2012-03-01,1408.469970703125
2012-04-01,1397.9100341796875
2012-05-01,1310.3299560546875
2012-06-01,1362.1600341796875
2012-07-01,1379.3199462890625
2012-08-01,1406.5799560546875
2012-09-01,1440.6700439453125
2012-10-01,1412.1600341796875
2012-11-01,1416.1800537109375
2012-12-01,1426.18994140625
2013-01-01,1498.1099853515625
2013-02-01,1514.6800537109375
2013-03-01,1569.18994140625
2013-04-01,1597.5699462890625
2013-05-01,1630.739990234375
2013-06-01,1606.280029296875
2013-07-01,1685.72998046875
2013-08-01,1632.969970703125
2013-09-01,1681.550048828125
2013-10-01,1756.5400390625
2013-11-01,1805.81005859375
2013-12-01,1848.3599853515625
2014-01-01,1782.5899658203125
2014-02-01,1859.449951171875
2014-03-01,1872.3399658203125
2014-04-01,1883.949951171875
2014-05-01,1923.5699462890625
2014-06-01,1960.22998046875
2014-07-01,1930.6700439453125
2014-08-01,2003.3699951171875
2014-09-01,1972.2900390625
2014-10-01,2018.050048828125
2014-11-01,2067.56005859375
2014-12-01,2058.89990234375
2015-01-01,1994.989990234375
2015-02-01,2104.5
2015-03-01,2067.889892578125
2015-04-01,2085.510009765625
2015-05-01,2107.389892578125
2015-06-01,2063.110107421875
2015-07-01,2103.840087890625
2015-08-01,1972.1800537109375
2015-09-01,1920.030029296875
2015-10-01,2079.360107421875
2015-11-01,2080.409912109375
2015-12-01,2043.93994140625
2016-01-01,1940.239990234375
2016-02-01,1932.22998046875
2016-03-01,2059.739990234375
2016-04-01,2065.300048828125
2016-05-01,2096.949951171875
2016-06-01,2098.860107421875
2016-07-01,2173.60009765625
2016-08-01,2170.949951171875
2016-09-01,2168.27001953125
2016-10-01,2126.14990234375
2016-11-01,2198.81005859375
2016-12-01,2238.830078125
2017-01-01,2278.8701171875
2017-02-01,2363.639892578125
2017-03-01,2362.719970703125
2017-04-01,2384.199951171875
2017-05-01,2411.800048828125
2017-06-01,2423.409912109375
2017-07-01,2470.300048828125
2017-08-01,2471.64990234375
2017-09-01,2519.360107421875
2017-10-01,2575.260009765625
2017-11-01,2647.580078125
2017-12-01,2673.610107421875
2018-01-01,2823.81005859375
2018-02-01,2713.830078125
2018-03-01,2640.8701171875
2018-04-01,2648.050048828125
2018-05-01,2705.27001953125
2018-06-01,2718.3701171875
2018-07-01,2816.2900390625
2018-08-01,2901.52001953125
2018-09-01,2913.97998046875
2018-10-01,2711.739990234375
2018-11-01,2760.169921875
2018-12-01,2506.85009765625
2019-01-01,2704.10009765625
2019-02-01,2784.489990234375
2019-03-01,2834.39990234375
2019-04-01,2945.830078125
2019-05-01,2752.06005859375
2019-06-01,2941.760009765625
2019-07-01,2980.3798828125
2019-08-01,2926.4599609375
2019-09-01,2976.739990234375
2019-10-01,3037.56005859375
2019-11-01,3140.97998046875
2019-12-01,3230.780029296875
2020-01-01,3225.52001953125
2020-02-01,2954.219970703125
2020-03-01,2584.590087890625
2020-04-01,2912.429931640625
2020-05-01,3044.31005859375
2020-06-01,3100.2900390625
2020-07-01,3271.1201171875
2020-08-01,3500.31005859375
2020-09-01,3363.0
2020-10-01,3269.9599609375
2020-11-01,3621.6298828125
2020-12-01,3756.070068359375
2021-01-01,3714.239990234375
2021-02-01,3811.14990234375
2021-03-01,3972.889892578125
2021-04-01,4181.169921875
2021-05-01,4204.10986328125
2021-06-01,4297.5
2021-07-01,4395.259765625
2021-08-01,4522.68017578125
2021-09-01,4307.5400390625
2021-10-01,4605.3798828125
2021-11-01,4567.0
2021-12-01,4766.18017578125
2022-01-01,4515.5498046875
2022-02-01,4373.93994140625
2022-03-01,4530.41015625
2022-04-01,4131.93017578125
2022-05-01,4132.14990234375
2022-06-01,3785.3798828125
2022-07-01,4130.2900390625
2022-08-01,3955.0
2022-09-01,3585.6201171875
2022-10-01,3871.97998046875
2022-11-01,4080.110107421875
2022-12-01,3839.5
2023-01-01,4076.60009765625
2023-02-01,3970.14990234375
2023-03-01,4109.31005859375
2023-04-01,4169.47998046875
2023-05-01,4179.830078125
2023-06-01,4450.3798828125
2023-07-01,4588.9599609375
2023-08-01,4507.66015625
2023-09-01,4288.0498046875
2023-10-01,4193.7998046875
2023-11-01,4567.7998046875
2023-12-01,4769.830078125
